motor,harga_otr,dp,pct_dp,tenor,cicilan
REVO X,21175000.0,5000000.0,0.2361,18,1351000.0
REVO X,21175000.0,5000000.0,0.2361,24,1088000.0
REVO X,21175000.0,5000000.0,0.2361,30,931000.0
REVO X,21175000.0,5000000.0,0.2361,36,836000.0
REVO X,21175000.0,5100000.0,0.2409,12,1867000.0
REVO X,21175000.0,5100000.0,0.2409,18,1344000.0
REVO X,21175000.0,5100000.0,0.2409,24,1082000.0
REVO X,21175000.0,5100000.0,0.2409,30,926000.0
REVO X,21175000.0,5100000.0,0.2409,36,831000.0
REVO X,21175000.0,5200000.0,0.2456,12,1857000.0
REVO X,21175000.0,5200000.0,0.2456,18,1337000.0
REVO X,21175000.0,5200000.0,0.2456,24,1076000.0
REVO X,21175000.0,5200000.0,0.2456,30,921000.0
REVO X,21175000.0,5200000.0,0.2456,36,826000.0
REVO X,21175000.0,5300000.0,0.2503,12,1847000.0
REVO X,21175000.0,5300000.0,0.2503,18,1330000.0
REVO X,21175000.0,5300000.0,0.2503,24,1070000.0
REVO X,21175000.0,5300000.0,0.2503,30,916000.0
REVO X,21175000.0,5300000.0,0.2503,36,821000.0
REVO X,21175000.0,5400000.0,0.255,12,1837000.0
REVO X,21175000.0,5400000.0,0.255,18,1323000.0
REVO X,21175000.0,5400000.0,0.255,24,1064000.0
REVO X,21175000.0,5400000.0,0.255,30,911000.0
REVO X,21175000.0,5400000.0,0.255,36,816000.0
REVO X,21175000.0,5500000.0,0.2597,12,1827000.0
REVO X,21175000.0,5500000.0,0.2597,18,1316000.0
REVO X,21175000.0,5500000.0,0.2597,24,1058000.0
REVO X,21175000.0,5500000.0,0.2597,30,906000.0
REVO X,21175000.0,5500000.0,0.2597,36,811000.0
REVO X,21175000.0,5600000.0,0.2645,12,1817000.0
REVO X,21175000.0,5600000.0,0.2645,18,1309000.0
REVO X,21175000.0,5600000.0,0.2645,24,1052000.0
REVO X,21175000.0,5600000.0,0.2645,30,901000.0
REVO X,21175000.0,5600000.0,0.2645,36,806000.0
REVO X,21175000.0,5700000.0,0.2692,12,1807000.0
REVO X,21175000.0,5700000.0,0.2692,18,1302000.0
REVO X,21175000.0,5700000.0,0.2692,24,1046000.0
REVO X,21175000.0,5700000.0,0.2692,30,896000.0
REVO X,21175000.0,5700000.0,0.2692,36,801000.0
REVO X,21175000.0,5800000.0,0.2739,12,1797000.0
REVO X,21175000.0,5800000.0,0.2739,18,1295000.0
REVO X,21175000.0,5800000.0,0.2739,24,1040000.0
REVO X,21175000.0,5800000.0,0.2739,30,891000.0
REVO X,21175000.0,5800000.0,0.2739,36,796000.0
REVO X,21175000.0,5900000.0,0.2786,12,1787000.0
REVO X,21175000.0,5900000.0,0.2786,18,1288000.0
REVO X,21175000.0,5900000.0,0.2786,24,1034000.0
REVO X,21175000.0,5900000.0,0.2786,30,886000.0
REVO X,21175000.0,5900000.0,0.2786,36,791000.0
REVO X,21175000.0,6000000.0,0.2834,12,1777000.0
REVO X,21175000.0,6000000.0,0.2834,18,1281000.0
REVO X,21175000.0,6000000.0,0.2834,24,1028000.0
REVO X,21175000.0,6000000.0,0.2834,30,881000.0
REVO X,21175000.0,6000000.0,0.2834,36,786000.0
REVO X,21175000.0,6100000.0,0.2881,12,1767000.0
REVO X,21175000.0,6100000.0,0.2881,18,1274000.0
REVO X,21175000.0,6100000.0,0.2881,24,1022000.0
REVO X,21175000.0,6100000.0,0.2881,30,876000.0
REVO X,21175000.0,6100000.0,0.2881,36,781000.0
REVO X,21175000.0,6200000.0,0.2928,12,1757000.0
REVO X,21175000.0,6200000.0,0.2928,18,1267000.0
REVO X,21175000.0,6200000.0,0.2928,24,1016000.0
REVO X,21175000.0,6200000.0,0.2928,30,871000.0
REVO X,21175000.0,6200000.0,0.2928,36,776000.0
REVO X,21175000.0,6300000.0,0.2975,12,1747000.0
REVO X,21175000.0,6300000.0,0.2975,18,1260000.0
REVO X,21175000.0,6300000.0,0.2975,24,1010000.0
REVO X,21175000.0,6300000.0,0.2975,30,866000.0
REVO X,21175000.0,6300000.0,0.2975,36,771000.0
REVO X,21175000.0,6400000.0,0.3022,12,1737000.0
